date,con,asy,atc
2022-07-19,4,79,0
2022-07-20,7,77,1
2022-07-21,8,44,1
2022-07-22,7,16,1
2022-07-23,0,11,0
2022-07-24,2,3,1
2022-07-26,0,2,0
2022-07-27,0,3,0
2022-07-28,0,1,0
2022-08-05,0,2,0
2022-08-08,0,1,0
2022-08-09,0,2,0
2022-08-12,0,1,0
2022-08-15,0,1,0
2022-08-21,1,4,0
2022-08-22,0,8,0
2022-08-23,1,6,0
2022-08-26,0,1,0
2022-08-28,0,1,0
2022-08-29,0,1,0
2022-08-30,0,1,0
2022-09-04,0,13,0
2022-09-05,0,4,0
2022-09-06,0,1,0
2022-09-15,0,1,0
2022-09-22,0,1,0
2022-09-23,0,1,0
2022-09-24,0,3,0
2022-09-26,0,1,0
2022-09-25,0,1,0
2022-09-27,0,1,0
2022-09-28,0,5,0
2022-09-29,0,7,0
2022-09-30,0,2,0
2022-10-01,0,5,0
2022-10-02,0,4,0
2022-10-03,1,5,0
2022-10-04,1,4,0
2022-10-05,0,7,0
2022-10-06,1,6,0
2022-10-07,0,9,0
2022-10-08,1,22,0
2022-04-12,1,60,0
2022-04-13,2,48,0
2022-04-14,0,47,0
2022-04-15,0,44,0
2022-04-16,0,58,0
2022-04-17,1,58,0
2022-04-18,1,60,0
2022-04-19,0,48,0
2022-04-20,0,30,0
2022-04-21,0,28,0
2022-04-22,1,16,0
2022-04-23,2,14,1
2022-04-24,0,29,0
2022-04-25,1,10,1
2022-04-26,1,8,0
2022-04-27,0,15,0
2022-04-28,0,23,0
2022-04-29,0,19,0
2022-04-30,0,9,0
2022-05-02,0,1,0
2022-05-03,0,1,0
2022-05-06,0,2,0
2022-05-10,0,1,0
2022-05-13,0,1,0
2022-05-14,0,7,0
2022-05-15,0,8,0
2022-05-16,0,1,0
2022-05-17,0,15,0
2022-05-18,0,12,0
2022-05-19,0,6,0
2022-05-20,0,5,0
2022-05-21,0,4,0
2022-05-22,0,3,0
2022-05-28,0,1,0
2022-05-31,0,1,0
2022-06-26,0,3,0
2022-06-27,0,6,0
2022-06-28,0,15,0
2022-06-29,0,13,0
2022-06-30,9,98,0
2022-07-01,34,101,0
2022-07-02,61,231,0
2022-07-03,29,258,1
2022-07-04,52,179,8
2022-07-05,81,141,34
2022-07-06,39,128,9
2022-07-07,17,140,3
2022-07-08,25,114,4
2022-07-09,11,71,3
2022-07-10,9,30,0
2022-07-11,5,19,0
2022-07-12,7,3,2
2022-07-15,16,139,0
2022-07-16,5,42,0
2022-07-17,3,52,0
2022-07-18,6,73,1
2022-10-09,0,41,0
2022-10-10,1,20,0
2022-10-11,0,26,0
2022-10-12,1,23,1
2022-10-13,0,42,0
2022-10-14,0,22,0
2022-10-15,1,19,0
2022-10-16,1,9,0
2022-10-17,0,6,0
2022-10-18,0,3,0
2022-10-20,0,9,0
2022-10-19,0,5,0
2022-10-21,0,8,0
2022-10-22,5,6,2
2022-10-23,6,17,0
2022-10-24,2,13,0
