date,con,asy,atc
2022-07-19,1,0,1
2022-07-22,1,0,0
2022-07-24,1,0,0
2022-07-31,1,0,0
2022-08-03,0,1,0
2022-08-06,1,0,1
2022-08-07,2,0,0
2022-08-10,2,0,0
2022-08-15,3,1,0
2022-08-16,1,1,0
2022-08-17,4,1,1
2022-08-18,1,0,1
2022-08-19,4,1,1
2022-08-20,1,0,1
2022-08-26,3,0,0
2022-08-27,2,1,0
2022-08-28,1,0,0
2022-08-30,1,0,0
2022-08-31,3,0,0
2022-09-01,1,0,0
2022-09-02,1,1,0
2022-09-03,1,0,1
2022-09-05,1,0,0
2022-09-06,14,0,0
2022-09-07,7,3,0
2022-09-08,17,2,0
2022-09-09,16,0,2
2022-09-10,8,2,0
2022-09-11,15,0,1
2022-09-12,10,6,1
2022-09-13,18,0,1
2022-09-14,2,0,1
2022-09-15,2,0,0
2022-09-22,2,0,0
2022-09-29,1,0,0
2022-09-30,1,1,0
2022-10-01,2,0,1
2022-10-02,2,1,0
2022-10-03,1,1,1
2022-10-04,3,1,1
