date,con,asy,atc
2022-07-30,0,8,0
2022-07-31,0,5,0
2022-08-01,1,3,0
2022-08-02,0,11,0
2022-08-03,0,18,0
2022-08-04,0,14,0
2022-08-05,0,6,0
2022-08-06,0,8,0
2022-08-07,0,11,0
2022-08-08,0,7,0
2022-08-09,0,21,0
2022-08-10,0,15,0
2022-08-11,0,43,0
2022-08-12,0,50,0
2022-08-13,0,54,0
2022-08-14,0,40,0
2022-08-15,0,57,0
2022-08-16,0,56,0
2022-08-17,0,36,0
2022-08-18,0,29,0
2022-08-19,0,16,0
2022-08-20,0,9,0
2022-08-21,0,7,0
2022-08-22,0,5,0
2022-04-15,0,3,0
2022-04-20,0,1,0
2022-06-18,0,1,0
2022-06-19,0,2,0
2022-11-19,0,3,0
2022-11-20,0,4,0
2022-11-21,0,9,0
2022-11-22,0,8,0
2022-11-23,0,4,0
2022-11-24,0,3,0
2022-11-25,0,1,0
2022-11-28,0,2,0
2022-11-29,0,3,0
2022-11-27,0,1,0
2022-11-30,0,4,0
2022-12-01,0,7,0
2022-12-02,0,16,0
2022-12-03,0,23,0
2022-12-04,0,39,0
