date,con,asy,atc
2022-07-21,5,5,2
2022-07-22,3,3,0
2022-07-23,3,3,0
2022-07-25,2,2,0
2022-07-26,3,3,2
2022-08-03,1,1,0
2022-08-04,3,3,0
2022-08-05,3,3,2
2022-08-06,5,5,0
2022-08-07,1,1,0
2022-08-08,2,2,0
2022-08-09,1,1,0
2022-08-10,2,2,0
2022-08-11,1,1,0
2022-08-12,4,4,1
2022-08-13,3,3,1
2022-08-14,2,2,0
2022-08-17,1,1,0
2022-08-18,7,7,1
2022-08-19,5,5,0
2022-08-20,2,2,0
2022-08-21,11,11,1
2022-08-22,23,23,0
2022-08-23,21,21,0
2022-08-24,27,27,0
2022-08-25,8,8,2
2022-08-26,12,12,1
2022-08-27,12,12,3
2022-08-28,10,10,1
2022-08-29,11,11,0
2022-08-30,7,7,0
2022-08-31,8,8,1
2022-09-01,8,8,0
2022-09-02,6,6,1
2022-09-03,1,1,0
