date,con,asy,atc
2022-07-19,20,8,1
2022-07-20,18,6,1
2022-07-21,10,13,2
2022-07-22,23,9,1
2022-07-23,11,10,1
2022-07-24,11,13,1
2022-07-25,6,17,1
2022-07-26,3,4,2
2022-07-27,4,8,0
2022-07-28,3,3,0
2022-07-29,1,2,1
2022-07-30,1,2,0
2022-07-31,1,1,0
2022-08-01,0,1,0
2022-08-02,0,1,0
2022-08-04,1,0,0
2022-08-05,11,2,0
2022-08-06,12,5,0
2022-08-07,37,6,0
2022-08-08,25,13,1
2022-08-09,39,7,0
2022-08-10,25,5,1
2022-08-11,22,14,7
2022-08-12,12,11,2
2022-08-13,14,1,2
2022-08-14,12,4,2
2022-08-15,9,8,3
2022-08-16,9,2,3
2022-08-17,6,2,3
2022-08-18,6,1,2
2022-08-19,8,7,3
2022-08-20,9,9,3
2022-08-21,9,11,0
2022-08-22,7,1,2
2022-08-23,17,5,10
2022-08-24,4,2,0
2022-08-25,4,4,0
2022-08-26,6,2,0
2022-08-27,13,4,1
2022-08-28,10,3,1
2022-08-29,24,12,0
2022-08-30,25,21,0
2022-08-31,40,34,0
2022-09-01,55,41,2
2022-09-02,65,40,2
2022-09-03,79,24,0
2022-09-04,63,26,2
2022-09-05,43,17,2
2022-09-06,42,18,6
2022-09-07,27,12,3
2022-09-08,36,28,3
2022-09-09,26,6,1
2022-09-10,15,10,0
2022-09-11,17,11,3
