date,con,asy,atc
2022-10-03,0,2,0
2022-08-01,1,0,0
2022-08-02,12,1,0
2022-08-03,24,3,0
2022-08-04,127,35,1
2022-08-05,262,46,7
2022-08-06,297,186,26
2022-08-07,259,245,33
2022-08-08,300,171,43
2022-08-09,285,285,14
2022-08-10,559,805,9
2022-08-11,595,614,1
2022-08-12,594,832,5
2022-08-13,494,846,3
2022-08-14,582,580,13
2022-08-15,426,785,1
2022-08-16,482,1181,1
2022-08-17,496,1522,10
2022-08-18,441,1058,40
2022-08-19,469,732,141
2022-08-20,440,625,184
2022-08-21,232,535,82
2022-08-22,205,520,49
2022-08-23,264,336,161
2022-08-24,217,309,125
2022-08-25,111,285,39
2022-08-26,91,229,23
2022-08-27,70,125,42
2022-08-28,34,98,12
2022-08-29,37,55,16
2022-08-30,36,29,22
2022-08-31,24,67,9
2022-09-01,27,75,13
2022-09-02,40,29,32
2022-09-03,24,21,16
2022-09-04,14,16,10
2022-09-05,30,9,25
2022-09-06,13,6,9
2022-09-07,2,3,0
2022-09-08,1,5,0
2022-09-09,2,3,0
2022-09-10,0,3,0
2022-09-11,0,1,0
2022-09-12,0,2,0
2022-09-15,0,1,0
2022-09-16,2,0,0
2022-09-17,5,6,0
2022-09-18,1,11,0
2022-09-19,0,5,0
2022-09-20,2,0,0
2022-09-23,1,0,0
2022-09-25,0,1,0
2022-10-05,2,0,0
2022-10-06,7,2,0
2022-10-07,2,1,0
2022-10-08,8,0,0
2022-04-12,14,0,13
2022-04-13,3,0,3
2022-04-14,0,1,0
2022-04-15,2,1,1
2022-04-21,3,0,0
2022-07-07,0,2,0
2022-07-09,0,7,0
2022-07-10,2,1,0
2022-07-11,9,7,0
2022-07-12,3,6,0
2022-07-13,3,3,0
2022-07-14,7,1,5
2022-07-15,5,1,4
2022-07-16,4,0,4
2022-07-17,1,0,0
2022-10-09,3,0,0
2022-10-11,2,0,0
2022-10-12,0,1,0
2022-10-15,0,1,0
2022-11-07,2,0,0
2022-11-08,2,0,0
2022-11-10,0,2,0
2022-11-11,0,1,0
2022-11-12,0,1,0
2022-11-13,1,2,0
2022-11-14,2,1,1
2022-11-15,6,5,1
2022-11-16,5,2,2
2022-11-17,2,7,0
2022-11-18,4,7,1
2022-11-19,3,4,1
2022-11-20,4,12,2
2022-11-21,5,19,0
2022-11-22,10,8,0
2022-11-23,5,24,0
2022-11-24,5,28,1
2022-11-25,13,27,3
2022-11-26,7,35,0
2022-11-28,12,39,0
2022-11-29,15,33,3
2022-11-27,10,37,2
2022-11-30,29,62,0
2022-12-01,26,76,1
2022-12-02,37,101,2
2022-12-03,55,101,7
2022-12-04,59,172,0
2022-12-05,70,144,3
2022-12-06,85,168,0
2022-12-07,89,202,1
2022-12-08,67,155,1
