date,con,asy,atc
2022-08-19,0,5,0
2022-08-20,0,8,0
2022-08-21,0,6,0
2022-08-22,0,5,0
2022-08-23,0,6,0
2022-08-24,0,1,0
2022-08-25,0,5,0
2022-08-26,0,13,0
2022-08-27,1,7,0
2022-08-28,11,33,0
2022-08-29,8,66,0
2022-08-30,13,69,0
2022-08-31,9,130,1
2022-09-01,11,207,3
2022-09-02,67,168,60
2022-09-03,4,93,1
2022-09-04,4,162,4
2022-09-05,7,148,0
2022-09-06,14,179,1
2022-09-07,6,104,0
2022-09-08,13,109,7
2022-09-09,1,111,0
2022-09-10,0,87,0
2022-09-11,2,68,1
2022-09-12,0,21,0
2022-09-13,1,44,0
2022-09-14,0,22,0
2022-09-15,0,8,0
2022-09-16,0,3,0
2022-09-17,0,4,0
2022-09-18,1,11,0
2022-09-19,2,44,1
2022-09-20,9,102,1
2022-09-21,7,109,0
2022-09-22,15,221,6
2022-09-23,21,209,6
2022-09-24,11,163,1
2022-09-26,21,115,0
2022-09-25,16,141,0
2022-09-27,5,82,0
2022-09-28,9,73,0
2022-09-29,13,54,1
2022-09-30,4,28,0
2022-10-01,0,15,0
2022-10-02,0,9,0
2022-10-03,2,4,1
2022-10-04,1,5,1
2022-10-05,5,7,1
2022-10-06,3,10,0
2022-10-07,1,5,0
2022-10-08,2,5,0
