date,con,asy,atc
2022-07-19,0,1,0
2022-07-30,0,1,0
2022-08-06,1,3,0
2022-08-07,3,0,3
2022-08-09,0,2,0
2022-08-10,1,0,1
2022-08-11,0,4,0
2022-08-17,1,0,0
2022-08-19,0,1,0
2022-08-20,3,0,0
2022-08-21,2,0,1
2022-08-22,2,0,0
2022-08-23,0,1,0
2022-08-24,0,4,0
2022-08-25,0,1,0
2022-08-26,4,1,1
2022-08-27,1,0,1
2022-08-28,5,0,0
2022-08-29,3,0,0
2022-08-30,0,1,0
2022-09-03,1,2,0
2022-09-04,2,0,2
2022-09-09,1,0,0
2022-09-11,0,1,0
2022-09-12,1,0,1
2022-09-13,4,1,0
2022-09-15,2,0,0
2022-09-17,0,1,0
2022-09-19,1,1,1
2022-09-22,4,2,0
2022-09-23,1,1,0
2022-09-29,1,2,0
2022-09-30,0,4,0
2022-10-01,1,3,1
2022-10-02,8,4,0
2022-10-03,6,3,2
2022-10-04,4,10,0
2022-10-05,3,8,3
2022-10-06,6,23,3
2022-10-07,5,7,1
2022-10-08,3,18,1
2022-04-12,2,0,0
2022-04-15,1,0,0
2022-04-16,1,0,0
2022-04-18,1,0,0
2022-04-19,3,0,0
2022-04-20,3,0,0
2022-04-21,3,0,0
2022-04-22,9,0,0
2022-04-23,4,0,0
2022-04-24,12,0,0
2022-04-25,2,0,0
2022-04-26,2,0,0
2022-04-27,1,0,0
2022-04-28,1,1,0
2022-04-29,3,0,1
2022-04-30,2,0,0
2022-05-01,0,1,0
2022-05-04,2,0,0
2022-05-05,2,0,0
2022-05-06,2,0,0
2022-05-08,1,0,0
2022-05-13,1,0,0
2022-10-09,4,18,0
2022-10-10,5,16,3
2022-10-11,14,15,8
2022-10-12,2,9,2
2022-10-13,0,7,0
2022-10-14,3,7,3
2022-10-15,1,9,0
