date,con,asy,atc
2022-07-19,0,8,0
2022-07-20,0,7,0
2022-07-21,0,2,0
2022-08-03,0,2,0
2022-08-05,0,2,0
2022-08-06,0,2,0
2022-08-07,0,2,0
2022-08-08,2,3,0
2022-08-10,0,1,0
2022-08-22,0,1,0
2022-09-01,1,40,0
2022-09-02,3,30,0
2022-09-03,11,81,4
2022-09-04,0,26,0
2022-09-05,3,19,3
2022-09-06,0,6,0
2022-09-07,0,6,0
2022-09-08,0,2,0
2022-09-09,0,6,0
2022-09-10,0,4,0
2022-09-11,0,1,0
2022-10-04,0,1,0
2022-10-05,0,7,0
2022-10-06,0,7,0
2022-10-07,0,9,0
2022-10-08,0,7,0
2022-04-12,233,852,97
2022-04-13,325,674,214
2022-04-14,174,342,81
2022-04-15,195,437,57
2022-04-16,167,525,36
2022-04-17,166,376,41
2022-04-18,88,384,26
2022-04-19,133,262,69
2022-04-20,95,261,32
2022-04-21,63,244,25
2022-04-22,136,205,83
2022-04-23,60,154,18
2022-04-24,79,107,39
2022-04-25,44,101,19
2022-04-26,51,80,31
2022-04-27,56,98,27
2022-04-28,42,45,31
2022-04-29,20,35,13
2022-04-30,16,26,11
2022-05-01,31,16,27
2022-05-02,0,21,0
2022-05-03,3,38,1
2022-05-04,4,20,2
2022-05-05,2,12,0
2022-05-06,3,22,2
2022-05-07,3,21,3
2022-05-08,0,3,0
2022-05-09,0,6,0
2022-05-10,0,4,0
2022-05-11,3,2,0
2022-05-13,1,0,0
2022-05-14,1,1,0
2022-05-15,0,3,0
2022-05-16,5,6,0
2022-05-17,9,3,1
2022-05-18,6,15,2
2022-05-19,2,9,0
2022-05-20,0,7,0
2022-05-21,0,10,0
2022-05-22,0,5,0
2022-05-23,1,7,0
2022-05-24,2,5,0
2022-05-25,0,6,0
2022-05-26,2,5,0
2022-05-27,3,9,1
2022-05-28,0,10,0
2022-05-29,0,5,0
2022-05-30,1,7,0
2022-05-31,0,7,0
2022-06-02,0,5,0
2022-06-03,0,5,0
2022-06-04,0,1,0
2022-06-05,0,2,0
2022-06-06,0,4,0
2022-06-07,0,3,0
2022-06-08,0,5,0
2022-06-09,0,7,0
2022-06-10,0,3,0
2022-06-11,0,1,0
2022-06-12,0,4,0
2022-06-14,0,6,0
2022-06-15,0,2,0
2022-06-16,0,6,0
2022-06-17,0,4,0
2022-06-18,0,3,0
2022-06-19,0,1,0
2022-06-20,0,10,0
2022-06-22,0,7,0
2022-06-23,0,8,0
2022-06-24,0,1,0
2022-07-15,0,3,0
2022-07-16,0,6,0
2022-07-17,0,8,0
2022-07-18,0,9,0
2022-10-09,0,5,0
2022-10-10,0,14,0
2022-10-11,0,10,0
2022-10-12,0,8,0
2022-10-13,0,32,0
2022-10-14,0,21,0
2022-10-15,0,9,0
2022-10-16,0,1,0
2022-10-17,0,3,0
2022-10-18,0,1,0
2022-10-23,0,2,0
2022-10-30,0,1,0
2022-11-01,0,1,0
2022-11-02,0,11,0
2022-11-03,0,8,0
2022-11-04,0,6,0
2022-11-05,0,6,0
2022-11-06,0,10,0
2022-11-07,0,6,0
2022-11-08,0,2,0
2022-11-09,0,6,0
2022-11-10,0,5,0
2022-11-11,0,3,0
2022-11-12,0,2,0
2022-11-13,0,1,0
2022-11-15,0,23,0
2022-11-16,1,69,0
2022-11-17,0,72,0
2022-11-18,0,56,0
2022-11-19,0,184,0
2022-11-20,6,210,0
2022-11-21,0,312,0
2022-11-22,13,386,1
2022-11-23,7,312,0
2022-11-24,8,570,0
2022-11-25,11,611,0
2022-11-26,4,1203,0
2022-11-28,23,809,0
2022-11-29,8,794,0
2022-11-27,8,1578,0
2022-11-30,18,714,0
2022-12-01,10,477,0
2022-12-02,8,419,0
2022-12-03,9,367,0
2022-12-04,9,353,0
