date,con,asy,atc
2022-07-19,0,1,0
2022-07-24,0,1,0
2022-07-25,0,1,0
2022-07-26,0,1,0
2022-07-27,0,1,0
2022-08-06,1,0,0
2022-08-12,1,0,0
2022-08-14,1,0,0
2022-08-15,0,4,0
2022-08-16,1,10,0
2022-08-17,0,1,0
2022-08-18,1,4,0
2022-08-19,0,1,0
2022-08-20,0,1,0
2022-08-24,0,1,0
2022-08-25,0,5,0
2022-08-26,0,4,0
2022-08-27,0,2,0
2022-08-28,1,6,1
2022-08-29,0,3,0
2022-08-30,0,3,0
2022-08-31,0,5,0
2022-09-01,0,2,0
2022-09-07,0,1,0
2022-09-08,3,1,0
2022-09-09,2,1,0
2022-09-10,0,1,0
2022-09-11,1,0,0
2022-09-12,1,0,1
2022-09-14,0,2,0
2022-09-15,0,1,0
2022-09-21,0,2,0
2022-09-22,0,1,0
2022-09-23,0,3,0
2022-09-24,0,2,0
2022-09-26,0,2,0
2022-09-25,0,5,0
2022-09-27,0,4,0
2022-09-28,1,5,1
2022-09-29,0,4,0
2022-09-30,2,0,1
2022-10-01,0,1,0
2022-10-02,2,3,0
2022-10-03,7,8,0
2022-10-04,22,18,0
2022-10-05,10,12,0
2022-10-06,5,21,2
2022-10-07,4,22,0
2022-10-08,5,13,1
2022-04-12,4,71,1
2022-04-13,3,50,0
2022-04-14,2,49,1
2022-04-15,4,52,0
2022-04-16,2,85,0
2022-04-17,7,90,2
2022-04-18,11,122,0
2022-04-19,8,95,3
2022-04-20,8,111,0
2022-04-21,7,124,0
2022-04-22,6,125,0
2022-04-23,6,120,2
2022-04-24,4,92,0
2022-04-25,2,112,0
2022-04-26,8,76,4
2022-04-27,2,72,0
2022-04-28,3,46,0
2022-04-29,5,15,0
2022-04-30,3,6,0
2022-05-01,0,16,0
2022-05-02,0,13,0
2022-05-03,3,22,0
2022-05-04,3,26,0
2022-05-05,1,47,0
2022-05-06,0,70,0
2022-05-07,1,60,0
2022-05-08,0,62,0
2022-05-09,0,55,0
2022-05-10,0,49,0
2022-05-11,0,47,0
2022-05-12,0,35,0
2022-05-13,0,17,0
2022-05-14,0,9,0
2022-05-15,1,1,0
2022-05-16,1,1,1
2022-05-17,1,3,0
2022-05-18,0,2,0
2022-05-20,0,1,0
2022-05-21,0,1,0
2022-05-23,0,1,0
2022-05-24,1,0,0
2022-05-25,0,4,0
2022-05-26,1,1,0
2022-05-27,3,3,0
2022-05-28,0,3,0
2022-06-02,0,1,0
2022-06-07,0,1,0
2022-06-13,0,1,0
2022-06-28,2,4,0
2022-06-29,5,9,0
2022-06-30,1,25,0
2022-07-01,1,29,0
2022-07-02,3,56,0
2022-07-03,4,52,0
2022-07-04,0,66,0
2022-07-05,4,61,2
2022-07-06,4,57,0
2022-07-07,2,67,0
2022-07-08,7,71,0
2022-07-09,3,59,0
2022-07-10,4,57,1
2022-07-11,5,23,0
2022-07-12,5,14,2
2022-07-13,2,8,1
2022-07-14,0,13,0
2022-07-15,1,4,0
2022-07-16,0,5,0
2022-07-17,1,2,0
2022-07-18,0,1,0
2022-10-09,1,18,0
2022-10-10,4,23,2
2022-10-11,2,23,0
2022-10-12,5,25,3
2022-10-13,4,28,0
2022-10-14,8,22,1
2022-10-15,5,22,0
2022-10-16,9,20,0
2022-10-17,11,19,2
2022-10-18,2,22,1
2022-10-20,2,14,0
2022-10-19,11,17,4
