date,con,asy,atc
2022-07-07,1,0,0
2022-07-08,4,1,0
2022-07-09,5,8,0
2022-07-10,1,25,0
2022-07-11,0,17,0
2022-07-12,5,56,0
2022-07-13,36,50,11
2022-07-14,29,17,5
2022-07-15,30,58,1
2022-07-16,53,68,1
2022-07-17,22,130,6
2022-07-18,28,154,0
2022-07-19,31,197,7
2022-07-20,41,191,24
2022-07-21,50,201,11
2022-07-22,31,164,8
2022-07-23,23,146,14
2022-07-24,19,100,9
2022-07-25,34,79,14
2022-07-26,5,75,2
2022-07-27,15,41,11
2022-07-28,13,20,9
2022-07-29,16,19,10
2022-07-30,3,10,1
2022-07-31,5,8,1
2022-08-01,5,3,3
2022-08-02,1,9,1
2022-08-03,0,3,0
2022-08-04,0,2,0
2022-08-15,0,1,0
2022-08-16,0,1,0
2022-08-17,0,1,0
2022-08-18,0,1,0
2022-08-19,0,3,0
2022-08-20,0,4,0
2022-08-21,0,1,0
2022-08-22,0,2,0
2022-08-25,0,3,0
2022-08-26,0,2,0
2022-08-27,0,4,0
2022-08-28,0,2,0
2022-08-29,0,8,0
2022-08-30,1,8,0
2022-08-31,1,2,0
2022-09-03,0,2,0
2022-09-09,0,3,0
2022-09-10,0,7,0
2022-09-11,0,4,0
2022-09-12,0,9,0
2022-09-13,0,7,0
2022-09-14,0,7,0
2022-09-15,0,2,0
2022-09-16,0,2,0
2022-09-20,0,1,0
2022-09-21,0,3,0
2022-09-23,0,1,0
2022-09-26,0,1,0
2022-09-28,0,1,0
2022-09-29,0,5,0
2022-09-30,0,3,0
2022-10-01,0,1,0
2022-10-02,0,3,0
2022-10-03,0,5,0
2022-10-04,0,6,0
2022-10-05,0,4,0
2022-10-06,0,1,0
2022-10-07,0,14,0
2022-10-08,0,53,0
2022-10-09,0,67,0
2022-10-10,0,51,0
2022-10-11,0,39,0
2022-10-12,0,19,0
2022-10-13,0,5,0
2022-10-14,0,1,0
2022-10-15,0,5,0
2022-10-16,0,2,0
2022-10-17,0,8,0
2022-10-18,0,2,0
2022-10-19,0,8,0
2022-10-20,0,10,0
2022-10-21,0,7,0
2022-10-22,0,5,0
2022-10-23,0,8,0
2022-10-24,0,12,0
2022-10-25,0,8,0
2022-10-26,0,19,0
2022-10-27,0,13,0
2022-10-28,4,38,4
2022-10-29,4,48,4
2022-10-30,3,31,3
2022-10-31,3,31,3
2022-11-01,0,51,0
2022-11-02,0,50,0
2022-11-03,8,55,8
2022-11-04,0,54,0
2022-11-05,6,51,6
2022-11-06,0,45,0
2022-11-07,10,65,9
2022-11-08,10,123,9
2022-11-09,5,194,3
2022-11-10,13,191,11
