date,con,asy,atc
2022-07-23,0,1,0
2022-08-19,0,5,0
2022-08-20,4,8,0
2022-08-21,1,3,0
2022-08-22,0,2,0
2022-08-23,0,11,0
2022-08-24,2,7,0
2022-08-25,3,9,1
2022-08-26,3,6,0
2022-08-27,6,10,6
2022-08-28,3,25,0
2022-08-29,2,50,1
2022-08-30,5,71,1
2022-08-31,9,109,2
2022-09-01,5,114,3
2022-09-02,8,116,1
2022-09-03,11,113,0
2022-09-04,13,93,3
2022-09-05,2,89,0
2022-09-06,2,77,0
2022-09-07,3,71,0
2022-09-08,3,77,1
2022-09-09,3,53,0
2022-09-10,0,38,0
2022-09-11,0,28,0
2022-09-12,3,22,0
2022-09-13,0,10,0
2022-09-14,0,8,0
2022-09-15,0,1,0
2022-10-01,0,1,0
2022-10-02,1,0,0
2022-10-03,0,1,0
2022-10-04,0,1,0
2022-10-05,4,2,0
2022-10-06,3,0,1
2022-10-07,1,4,0
2022-10-08,4,20,1
2022-04-12,1,31,0
2022-04-13,1,32,0
2022-04-14,1,20,0
2022-04-15,1,27,0
2022-04-16,1,7,0
2022-04-17,0,9,0
2022-04-18,1,16,0
2022-04-19,0,9,0
2022-04-20,0,6,0
2022-04-21,0,4,0
2022-04-22,0,2,0
2022-04-23,1,4,0
2022-04-24,3,0,0
2022-04-25,25,39,0
2022-04-26,0,102,0
2022-04-27,1,55,1
2022-04-28,1,91,1
2022-04-29,1,85,1
2022-04-30,0,47,0
2022-05-01,1,95,0
2022-05-02,5,79,2
2022-05-03,0,128,0
2022-05-04,2,99,1
2022-05-05,2,61,2
2022-05-06,1,98,0
2022-05-07,0,85,0
2022-05-08,0,50,0
2022-05-09,2,53,2
2022-05-10,4,60,4
2022-05-11,2,85,2
2022-05-12,0,58,0
2022-05-13,2,33,2
2022-05-14,2,16,0
2022-05-15,1,10,0
2022-05-17,0,1,0
2022-05-18,0,3,0
2022-05-19,1,2,1
2022-05-20,0,4,0
2022-05-21,0,1,0
2022-05-22,1,0,1
2022-05-23,1,0,1
2022-05-24,0,11,0
2022-05-25,0,6,0
2022-05-26,0,9,0
2022-05-27,0,11,0
2022-05-28,0,8,0
2022-05-29,0,5,0
2022-05-30,0,12,0
2022-05-31,0,4,0
2022-06-01,0,4,0
2022-06-02,0,7,0
2022-06-03,0,26,0
2022-06-04,0,25,0
2022-06-05,0,13,0
2022-06-06,13,19,13
2022-06-07,0,5,0
2022-06-08,11,3,9
2022-06-09,2,7,1
2022-06-10,3,3,0
2022-06-11,0,5,0
2022-06-12,0,1,0
2022-06-13,0,5,0
2022-06-14,2,4,0
2022-06-15,3,3,0
2022-06-16,4,5,0
2022-06-17,4,2,0
2022-06-18,1,3,0
2022-06-19,0,2,0
2022-06-20,0,6,0
2022-06-21,0,4,0
2022-06-22,0,5,0
2022-06-23,0,7,0
2022-06-24,0,8,0
2022-06-25,0,7,0
2022-06-26,0,6,0
2022-06-27,0,4,0
2022-06-28,0,3,0
2022-06-29,0,7,0
2022-06-30,0,7,0
2022-07-01,0,8,0
2022-07-02,0,7,0
2022-07-03,0,9,0
2022-07-04,0,1,0
2022-07-06,0,1,0
2022-07-17,0,2,0
2022-10-09,4,26,0
2022-10-10,11,18,4
