date,con,asy,atc
2022-07-20,1,0,0
2022-07-31,1,3,0
2022-08-01,7,8,0
2022-08-02,8,3,0
2022-08-03,10,4,0
2022-08-04,2,1,0
2022-08-05,22,4,0
2022-08-06,12,4,0
2022-08-07,12,2,0
2022-08-08,16,3,1
2022-08-09,27,5,0
2022-08-10,4,6,0
2022-08-11,9,7,0
2022-08-12,2,7,0
2022-08-13,6,2,1
2022-08-14,2,9,0
2022-08-15,1,0,0
2022-08-16,0,2,0
2022-08-17,5,2,1
2022-08-18,4,1,1
2022-08-19,1,1,1
2022-08-20,4,3,0
2022-08-21,3,1,0
2022-08-22,2,1,1
2022-08-23,1,0,0
2022-08-25,1,0,0
2022-08-26,5,2,0
2022-08-27,4,3,0
2022-08-28,0,3,0
2022-08-29,7,19,0
2022-08-30,7,4,0
2022-08-31,4,4,0
2022-09-01,2,6,0
2022-09-02,4,1,0
2022-09-03,10,10,0
2022-09-04,14,7,0
2022-09-05,39,69,7
2022-09-06,57,81,4
2022-09-07,67,63,2
2022-09-08,42,77,15
2022-09-09,33,36,8
2022-09-10,21,32,4
2022-09-11,15,15,2
2022-09-12,8,19,1
2022-09-13,7,11,0
2022-09-14,7,10,5
2022-09-15,3,4,0
2022-09-16,3,9,0
2022-09-17,6,3,1
2022-09-18,1,2,0
2022-09-22,0,2,0
2022-09-25,1,1,0
2022-09-27,0,1,0
2022-09-28,1,0,0
2022-09-29,1,0,0
2022-09-30,17,7,0
2022-10-01,26,6,0
2022-10-02,80,23,3
2022-10-03,151,226,7
2022-10-04,64,243,34
2022-10-05,26,445,14
2022-10-06,13,661,6
2022-10-07,251,386,132
2022-10-08,207,424,71
2022-04-12,0,1,0
2022-04-13,0,3,0
2022-04-14,2,2,0
2022-04-15,1,1,0
2022-04-16,0,2,0
2022-04-17,1,0,0
2022-04-20,1,0,0
2022-04-23,5,0,0
2022-04-24,9,0,0
2022-04-25,6,0,0
2022-04-26,7,0,0
2022-04-27,9,0,0
2022-04-28,3,0,0
2022-04-29,6,0,0
2022-04-30,2,0,0
2022-05-01,1,0,0
2022-05-02,1,0,0
2022-05-07,1,0,0
2022-06-02,3,4,0
2022-06-03,11,5,0
2022-06-04,11,7,0
2022-06-05,16,33,0
2022-06-06,20,49,0
2022-06-07,35,46,0
2022-06-08,37,93,0
2022-06-09,15,20,1
2022-06-10,19,24,1
2022-06-11,78,8,51
2022-06-12,27,13,0
2022-06-13,15,9,2
2022-06-14,14,10,8
2022-06-15,13,21,3
2022-06-16,6,13,1
2022-06-17,5,16,1
2022-06-18,1,4,0
2022-06-21,1,0,0
2022-06-22,1,0,0
2022-06-23,14,0,13
2022-07-06,4,4,0
2022-07-07,4,0,0
2022-07-08,5,0,2
2022-07-09,9,0,0
2022-07-10,1,0,0
2022-07-11,2,0,0
2022-07-12,4,0,0
2022-07-13,1,0,0
2022-07-14,1,0,0
2022-10-09,119,559,26
2022-10-10,145,637,47
2022-10-11,48,463,13
2022-10-12,53,276,13
2022-10-13,56,181,13
2022-10-14,48,111,15
2022-10-15,13,43,0
2022-10-16,13,30,4
2022-10-17,17,33,4
2022-10-18,24,52,4
2022-10-20,27,64,3
2022-10-19,29,53,3
2022-10-21,33,67,3
2022-10-22,26,77,0
2022-10-23,32,66,0
2022-10-24,21,78,1
2022-10-25,35,79,2
2022-10-26,30,92,0
2022-10-27,37,110,1
2022-10-28,20,111,0
2022-10-29,19,103,1
2022-10-30,18,113,0
2022-10-31,13,152,0
2022-11-01,24,296,0
2022-11-02,192,741,1
2022-11-03,239,525,1
2022-11-04,75,484,1
2022-11-05,43,649,0
2022-11-06,57,976,0
2022-11-07,159,1635,0
2022-11-08,135,938,0
2022-11-09,107,1019,1
2022-11-10,98,1113,1
