date,con,asy,atc
2022-07-24,2,11,0
2022-07-25,1,27,0
2022-07-26,1,20,0
2022-07-27,0,49,0
2022-07-28,5,93,0
2022-07-29,2,56,0
2022-07-30,0,53,0
2022-07-31,2,49,0
2022-08-01,0,47,0
2022-08-02,3,36,0
2022-08-03,2,24,0
2022-08-04,0,16,0
2022-08-05,0,7,0
2022-08-06,0,4,0
2022-08-07,0,3,0
2022-08-15,1,3,0
2022-08-16,1,3,1
2022-08-17,0,3,0
2022-08-18,0,3,0
2022-08-19,0,1,0
2022-08-24,0,1,0
2022-08-25,0,6,0
2022-08-26,1,4,1
2022-08-27,0,2,0
2022-08-28,1,9,0
2022-08-29,3,14,1
2022-08-30,0,4,0
2022-08-31,4,19,0
2022-09-01,4,53,1
2022-09-02,8,75,0
2022-09-03,1,78,0
2022-09-04,5,52,2
2022-09-05,2,63,0
2022-09-06,12,80,0
2022-09-07,15,77,2
2022-09-08,16,81,1
2022-09-09,13,70,0
2022-09-10,9,55,0
2022-09-11,9,28,0
2022-09-12,7,34,0
2022-09-13,10,35,0
2022-09-14,1,11,0
2022-09-15,1,20,0
2022-09-16,2,30,0
2022-09-17,2,12,0
2022-09-18,4,5,4
2022-09-19,2,1,2
2022-09-20,1,2,0
2022-09-21,0,4,0
2022-09-22,0,12,0
2022-09-23,0,7,0
2022-09-24,0,3,0
2022-09-26,2,2,0
2022-09-25,0,3,0
2022-09-27,0,4,0
2022-09-28,2,3,1
2022-09-29,0,9,0
2022-09-30,5,18,1
2022-10-01,5,13,4
