date,con,asy,atc
2022-07-19,5,10,0
2022-07-20,3,14,0
2022-07-21,3,15,0
2022-07-22,2,16,0
2022-07-23,3,21,0
2022-07-24,3,15,0
2022-07-25,4,15,0
2022-07-26,2,14,0
2022-07-27,3,11,0
2022-07-28,1,6,0
2022-07-29,1,4,0
2022-07-30,3,3,0
2022-08-03,0,2,0
2022-08-11,2,5,0
2022-08-12,1,3,0
2022-08-13,0,5,0
2022-08-14,1,5,0
2022-08-15,0,3,0
2022-08-16,0,4,0
2022-08-17,0,4,0
2022-08-18,0,3,0
2022-08-19,1,2,0
2022-08-20,0,2,0
2022-08-21,1,3,0
2022-08-22,1,3,0
2022-08-24,0,6,0
2022-08-25,1,1,0
2022-08-26,1,7,0
2022-08-27,0,8,0
2022-08-30,1,1,0
2022-09-01,1,0,0
2022-09-02,1,2,0
2022-09-03,1,0,0
2022-09-06,0,1,0
2022-09-07,3,10,0
2022-09-08,0,2,0
2022-09-09,0,5,0
2022-09-10,1,7,0
2022-09-11,0,3,0
2022-09-13,1,0,0
2022-09-15,0,3,0
2022-09-16,0,1,0
2022-09-18,0,3,0
2022-09-19,0,1,0
2022-09-22,0,1,0
2022-09-28,0,1,0
2022-09-29,0,6,0
2022-09-30,0,3,0
2022-10-01,1,4,0
2022-10-02,1,3,0
2022-10-03,0,3,0
2022-10-04,0,6,0
2022-10-05,0,11,0
2022-10-06,1,17,0
2022-10-07,2,21,0
2022-10-08,2,19,0
2022-04-12,1189,25141,23
2022-04-13,2573,25146,114
2022-04-14,3200,19872,307
2022-04-15,3590,19923,922
2022-04-16,3238,21582,1177
2022-04-17,2417,19831,853
2022-04-18,3084,17332,974
2022-04-19,2494,16407,533
2022-04-20,2634,15861,459
2022-04-21,1931,15698,143
2022-04-22,2736,20634,1120
2022-04-23,1401,19657,541
2022-04-24,2472,16983,846
2022-04-25,1661,15319,968
2022-04-26,1606,11956,1253
2022-04-27,1292,9330,858
2022-04-28,5487,9545,5062
2022-04-29,1249,8932,985
2022-04-30,788,7084,683
2022-05-01,727,6606,529
2022-05-02,274,5395,155
2022-05-03,260,4722,151
2022-05-04,261,4390,185
2022-05-05,245,4024,181
2022-05-06,253,3961,175
2022-05-07,215,3760,135
2022-05-08,322,3625,230
2022-05-09,234,2780,156
2022-05-10,228,1259,198
2022-05-11,144,1305,106
2022-05-12,227,1869,167
2022-05-13,194,1487,140
2022-05-14,166,1203,111
2022-05-15,69,869,42
2022-05-16,77,746,46
2022-05-17,96,759,56
2022-05-18,82,637,48
2022-05-19,88,770,71
2022-05-20,84,784,49
2022-05-21,52,570,29
2022-05-22,55,503,30
2022-05-23,58,422,39
2022-05-24,44,343,32
2022-05-25,48,290,31
2022-05-26,45,219,33
2022-05-27,39,131,18
2022-05-28,29,93,18
2022-05-29,6,61,2
2022-05-30,9,22,2
2022-05-31,5,10,1
2022-06-01,5,8,3
2022-06-02,8,8,2
2022-06-03,5,9,2
2022-06-04,6,16,1
2022-06-05,4,4,0
2022-06-06,3,7,0
2022-06-07,4,11,0
2022-06-08,4,5,0
2022-06-09,6,5,0
2022-06-10,7,9,0
2022-06-11,10,19,0
2022-06-12,11,26,1
2022-06-13,3,14,0
2022-06-14,13,2,1
2022-06-15,9,7,0
2022-06-16,2,2,0
2022-06-17,1,6,0
2022-06-18,3,6,0
2022-06-19,10,3,0
2022-06-20,6,3,0
2022-06-21,4,4,0
2022-06-22,9,0,0
2022-06-23,2,1,0
2022-06-26,2,2,0
2022-07-02,2,0,0
2022-07-03,2,1,0
2022-07-04,3,5,0
2022-07-05,9,15,0
2022-07-06,32,22,0
2022-07-07,17,28,0
2022-07-08,11,48,0
2022-07-09,5,52,0
2022-07-10,6,63,0
2022-07-11,5,54,0
2022-07-12,5,50,0
2022-07-13,5,42,0
2022-07-14,6,39,0
2022-07-15,5,28,0
2022-07-16,2,24,0
2022-07-17,3,14,0
2022-07-18,4,19,0
2022-10-09,3,31,0
2022-10-10,4,24,0
2022-10-11,4,34,0
2022-10-12,3,44,0
2022-10-13,2,47,0
2022-10-14,4,38,0
2022-10-15,0,28,0
2022-10-16,0,32,0
2022-10-17,1,14,0
2022-10-18,1,14,0
2022-10-20,0,13,0
2022-10-19,0,10,0
2022-10-21,0,16,0
2022-10-22,0,12,0
2022-10-23,1,11,0
2022-10-24,0,19,0
2022-10-25,1,18,0
2022-10-26,1,8,0
2022-10-27,0,11,0
2022-10-28,1,8,0
2022-10-29,0,9,0
2022-10-30,0,10,0
2022-10-31,2,2,0
2022-11-01,1,0,0
2022-11-02,1,2,0
2022-11-03,1,6,0
2022-11-04,0,5,0
2022-11-05,0,5,0
2022-11-06,0,2,0
2022-11-07,0,3,0
2022-11-08,0,4,0
2022-11-09,0,4,0
