date,con,asy,atc
2022-08-18,1,5,0
2022-08-19,4,1,4
2022-08-20,5,1,1
2022-08-21,2,0,0
2022-08-22,2,1,0
2022-08-23,1,1,0
2022-08-24,3,1,0
2022-08-25,2,0,1
2022-08-26,4,11,0
2022-08-27,9,2,3
2022-08-28,2,5,0
2022-08-29,2,2,0
2022-08-30,3,0,0
2022-09-28,3,2,0
2022-09-29,3,0,1
2022-09-30,7,6,0
2022-10-01,9,3,0
2022-10-02,3,9,2
2022-10-03,5,12,0
2022-10-04,6,7,0
2022-10-05,8,5,1
2022-10-06,8,21,0
2022-10-07,30,32,7
2022-10-08,20,16,1
2022-04-12,0,4,0
2022-04-13,4,4,0
2022-04-14,10,43,0
2022-04-15,5,19,0
2022-04-16,9,36,1
2022-04-17,9,50,0
2022-04-18,5,28,0
2022-04-19,9,21,1
2022-04-20,5,26,0
2022-04-21,3,16,0
2022-04-22,2,9,1
2022-04-23,0,5,0
2022-04-24,2,5,0
2022-04-25,2,0,1
2022-04-26,1,0,0
2022-04-27,0,1,0
2022-05-02,2,0,1
2022-05-10,0,1,0
2022-07-06,1,0,0
2022-07-10,0,1,0
2022-10-09,25,14,1
2022-10-10,16,21,0
2022-10-11,78,57,1
2022-10-12,24,71,4
2022-10-13,11,53,0
2022-10-14,27,19,7
2022-10-15,25,19,0
2022-10-16,40,19,3
2022-10-17,46,31,5
2022-10-18,22,23,0
2022-10-20,8,9,0
2022-10-19,12,2,1
2022-10-21,11,16,0
2022-10-22,24,16,1
2022-10-23,36,31,0
2022-10-24,70,76,2
2022-10-25,126,92,1
2022-10-26,16,28,0
2022-10-27,26,81,0
2022-10-28,54,50,0
2022-10-29,37,71,2
2022-10-30,16,169,1
2022-10-31,17,123,1
2022-11-01,24,112,0
2022-11-02,28,58,4
2022-11-03,30,178,6
2022-11-04,61,159,5
2022-11-05,35,91,1
2022-11-06,22,53,1
2022-11-07,33,98,1
2022-11-08,69,113,4
2022-11-09,35,152,0
2022-11-10,53,183,4
2022-11-11,75,172,2
2022-11-12,40,232,1
2022-11-13,34,181,1
2022-11-14,46,214,4
2022-11-15,66,259,3
2022-11-16,71,397,3
2022-11-17,63,348,2
2022-11-18,56,439,8
2022-11-19,81,657,10
2022-11-20,120,518,10
2022-11-21,89,382,4
2022-11-22,157,488,6
2022-11-23,247,778,11
2022-11-24,208,724,3
