date,con,asy,atc
2022-08-08,1,21,0
2022-08-09,10,18,1
2022-08-10,2,66,0
2022-08-11,7,20,0
2022-08-12,4,28,0
2022-08-13,59,443,0
2022-08-14,69,523,24
2022-08-15,26,629,0
2022-08-16,16,670,5
2022-08-17,19,870,2
2022-08-18,15,665,3
2022-08-19,22,501,2
2022-08-20,34,560,12
2022-08-21,55,494,3
2022-08-22,27,518,5
2022-08-23,23,543,1
2022-08-24,37,521,0
2022-08-25,83,444,24
2022-08-26,34,419,12
2022-08-27,51,452,5
2022-08-28,24,570,1
2022-08-29,49,645,4
2022-08-30,45,674,4
2022-08-31,53,621,2
2022-09-01,46,575,2
2022-09-02,65,524,35
2022-09-03,51,505,6
2022-09-04,64,452,1
2022-09-05,52,453,1
2022-09-06,76,389,2
2022-09-07,18,388,3
2022-09-08,20,347,2
2022-09-09,16,306,0
2022-09-10,16,251,0
2022-09-11,10,216,0
2022-09-12,11,199,2
2022-09-13,8,129,0
2022-09-14,9,101,1
2022-09-15,10,108,0
2022-09-16,10,56,1
2022-09-17,6,39,0
2022-09-18,11,187,0
2022-09-19,16,160,0
2022-09-20,13,155,0
2022-09-21,13,143,0
2022-09-22,9,131,0
2022-09-23,11,111,0
2022-09-24,8,103,0
2022-09-26,11,83,0
2022-09-25,9,89,0
