北京   beji  Beijing     
天津   tiji  Tianjin     
河北   hebe  Hebei       
山西   shxi  Shanxi      
内蒙古 neme  Neimeng     
辽宁   lini  Liaoning    
吉林   jili  Jilin       
黑龙江 helo  Heilongjiang
上海   shha  Shanghai    
江苏   jisu  Jiangsu     
浙江   zhji  Zhejiang    
安徽   anhu  Anhui       
福建   fuji  Fujian      
江西   jixi  Jiangxi     
山东   shdo  Shandong    
河南   hena  Henan       
湖北   hube  Hubei       
湖南   huna  Hunan       
广东   gudo  Guangdong   
广西   guxi  Guangxi     
海南   hana  Hainan      
重庆   chqi  Chongqing   
四川   sich  Sichuan     
贵州   guzh  Guizhou     
云南   yuna  Yunnan      
西藏   xiza  Xizang      
陕西   saxi  Shaanxi     
甘肃   gasu  Gansu       
青海   qiha  Qinghai     
宁夏   nixi  Ningxia     
新疆   xiji  Xinjiang   
兵团   bitu  Bingtuan
绵阳   miya  Mianyang 
